step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5,0,0,0,11.61930406,0,0,0.862454786,0,0
10,0,0,0,12.52806745,0,0,0.927285434,0,0
15,5,5,0.277777778,7.523953963,5,5,0.420218223,5,5
20,8,43,2.388888889,7.16673714,8,43,0.401486811,8,43
25,8,83,3.608695652,7.30380746,8,83,0.3976036,8,83
30,6,93,4.65,7.342459346,6,99,0.429378875,6,99
35,7,124,5.636363636,7.255716723,7,124,0.416997834,7,124
40,10,170,6.538461538,7.734132453,10,170,0.449736751,10,170
45,7,184,7.076923077,6.20035587,7,199,0.433958631,7,199
50,6,213,7.888888889,6.564255646,6,214,0.366808709,6,214
55,12,269,8.966666667,7.11368389,12,269,0.35071156,12,269
60,12,329,12.18518519,6.019088874,12,329,0.256631743,12,329
65,10,359,13.2962963,6.281449135,10,361,0.411758394,10,361
70,11,413,16.52,5.668581771,11,413,0.27027312,11,413
75,15,482,13.38888889,6.142020225,15,482,0.354079276,15,482
80,12,516,15.17647059,6.449806063,12,539,0.42850804,12,539
85,13,562,15.61111111,5.376906941,13,569,0.303263886,13,569
90,18,648,18,6.536443959,18,648,0.237078368,18,648
95,18,738,20.5,5.909365447,18,738,0.258778226,18,738
100,20,834,25.27272727,5.348562884,20,834,0.218586899,20,834
105,20,934,27.47058824,5.145425895,20,934,0.236209476,20,934
110,16,960,26.66666667,5.489020357,16,982,0.312977732,16,982
115,16,1040,28.88888889,6.526361713,16,1040,0.347668395,16,1040
120,21,1131,31.41666667,4.535240406,21,1131,0.165825792,21,1131
125,20,1224,34,3.381998842,20,1230,0.16374564,20,1230
130,21,1329,36.91666667,4.775672469,21,1329,0.224495366,21,1329
135,22,1435,36.79487179,5.550518847,22,1435,0.223304644,22,1435
140,23,1550,43.05555556,4.647948747,23,1550,0.190190117,23,1550
145,20,1624,41.64102564,5.12300688,20,1633,0.300848764,20,1633
150,22,1728,42.14634146,4.964079817,22,1728,0.295847673,22,1728
155,25,1848,45.07317073,3.384845781,25,1848,0.141269441,25,1848
160,27,1952,43.37777778,3.30395585,27,1968,0.169155844,27,1968
165,27,2087,50.90243902,3.660018115,27,2087,0.168635743,27,2087
170,27,2222,47.27659574,4.943594721,27,2222,0.166175322,27,2222
175,29,2367,55.04651163,4.184792272,29,2367,0.138252155,29,2367
180,29,2512,61.26829268,3.369380357,29,2512,0.125010091,29,2512
185,31,2665,60.56818182,3.634037943,31,2665,0.197455803,31,2665
190,33,2824,60.08510638,3.16328502,33,2824,0.116775592,33,2824
195,36,3002,63.87234043,2.873420034,36,3002,0.130134039,36,3002
200,37,3187,67.80851064,2.719863509,37,3187,0.124039923,37,3187
205,32,3198,65.26530612,3.140696131,32,3285,0.145528124,32,3285
210,31,3335,68.06122449,3.640298621,31,3350,0.183511328,31,3350
215,34,3498,71.3877551,3.663068729,34,3498,0.111866014,34,3498
220,30,3634,61.59322034,4.289667337,30,3645,0.221019412,30,3645
225,32,3786,70.11111111,4.168285091,32,3786,0.191822564,32,3786
230,36,3958,70.67857143,4.150769263,36,3958,0.173836625,36,3958
235,38,4148,79.76923077,3.556874303,38,4148,0.131010725,38,4148
240,38,4338,83.42307692,2.828822944,38,4338,0.07579246,38,4338
245,36,4496,89.92,2.863502048,36,4501,0.130616104,36,4501
250,36,4676,89.92307692,3.545207893,36,4676,0.171267204,36,4676
255,39,4862,86.82142857,3.664411398,39,4862,0.169766012,39,4862
260,40,5044,90.07142857,2.337892187,40,5050,0.120901116,40,5050
265,41,5245,93.66071429,2.960034122,41,5245,0.1408259,41,5245
270,42,5454,90.9,3.685733956,42,5454,0.136191693,42,5454
275,42,5664,101.1428571,3.068983183,42,5664,0.102214068,42,5664
280,40,5844,100.7586207,3.191484887,40,5845,0.173262599,40,5845
285,43,6051,112.0555556,2.210382126,43,6051,0.108598738,43,6051
290,44,6271,97.984375,3.279159694,44,6271,0.163455273,44,6271
295,43,6450,102.3809524,2.558186651,43,6471,0.136607353,43,6471
300,44,6668,107.5483871,2.36415368,44,6670,0.099439226,44,6670
305,48,6901,104.5606061,3.53023842,48,6901,0.104478962,48,6901
310,48,7141,111.578125,3.339696333,48,7141,0.11819155,48,7141
315,48,7358,120.6229508,2.314538748,48,7358,0.108272132,48,7358
320,48,7598,124.557377,2.474363502,48,7598,0.113603363,48,7598
325,51,7846,118.8787879,2.280857276,51,7846,0.092015143,51,7846
330,48,8052,129.8709677,1.742780323,48,8074,0.08512115,48,8074
335,48,8292,127.5692308,2.728906043,48,8292,0.109676642,48,8292
340,50,8538,129.3636364,3.178519973,50,8538,0.084340387,50,8538
345,50,8788,137.3125,2.774186767,50,8788,0.094035835,50,8788
350,45,7099,114.5,2.462558534,45,8362,0.108398862,45,8362
355,38,4701,73.453125,3.279615313,38,7302,0.145313434,38,7302
